"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","GET /users/1 returns user with complete data structure @smoke","api-tests","Tue Feb 10 09:33:32 UTC 2026","passed","Tue Feb 10 09:33:32 UTC 2026","Get Users @users @get","user-tests/get-user.spec.ts","",""
"","18","DELETE /posts/50 returns 200","api-tests","Tue Feb 10 09:33:31 UTC 2026","passed","Tue Feb 10 09:33:31 UTC 2026","Delete Posts @posts @delete","post-tests/delete-post.spec.ts","",""
"","16","GET /users/999 returns 404 for non-existent user @negative","api-tests","Tue Feb 10 09:33:32 UTC 2026","passed","Tue Feb 10 09:33:32 UTC 2026","Get Users @users @get","user-tests/get-user.spec.ts","",""
"","29","GET /users/10 returns matching user","api-tests","Tue Feb 10 09:33:32 UTC 2026","passed","Tue Feb 10 09:33:32 UTC 2026","Get Users @users @get","user-tests/get-user.spec.ts","",""
"","15","GET /todos/999 returns 404 for non-existent todo @negative","api-tests","Tue Feb 10 09:33:32 UTC 2026","passed","Tue Feb 10 09:33:32 UTC 2026","Get Todos @todos @get","todo-tests/get-todo.spec.ts","",""
"","30","POST /posts works with data: Third Post","api-tests","Tue Feb 10 09:33:31 UTC 2026","passed","Tue Feb 10 09:33:31 UTC 2026","Create Posts @posts @post","post-tests/create-post.spec.ts","",""
"","99","POST /posts creates a new post and returns 201 @smoke","api-tests","Tue Feb 10 09:33:31 UTC 2026","passed","Tue Feb 10 09:33:31 UTC 2026","Create Posts @posts @post","post-tests/create-post.spec.ts","",""
"","17","GET /todos contains both completed and incomplete items","api-tests","Tue Feb 10 09:33:32 UTC 2026","passed","Tue Feb 10 09:33:32 UTC 2026","Get Todos @todos @get","todo-tests/get-todo.spec.ts","",""
"","33","PUT /posts/{id} with random data updates correctly","api-tests","Tue Feb 10 09:33:32 UTC 2026","passed","Tue Feb 10 09:33:32 UTC 2026","Update Posts @posts @put @patch","post-tests/update-post.spec.ts","",""
"","92","POST /posts with random data creates post correctly @smoke","api-tests","Tue Feb 10 09:33:31 UTC 2026","passed","Tue Feb 10 09:33:31 UTC 2026","Create Posts @posts @post","post-tests/create-post.spec.ts","",""
"","16","GET /users/1 returns matching user","api-tests","Tue Feb 10 09:33:32 UTC 2026","passed","Tue Feb 10 09:33:32 UTC 2026","Get Users @users @get","user-tests/get-user.spec.ts","",""
